"","address","charging","engineType","exterior","fuel","interior","name","smartPhoneRequired","vin","City","Longitude","Latitude","Altitude"
"132","Ullrich Ave 1736, 78756 Austin",NA,"CE","GOOD",84,"GOOD","CSF 8922","FALSE","WMEEJ3BA7EK734500","austin",-97.73628,30.33221,0
"133","Pickle Rd 221, 78704 Austin",NA,"CE","GOOD",100,"GOOD","CZT 0934","FALSE","WMEEJ3BA9EK749595","austin",-97.7628,30.22708,0
"134","S Pleasant Valley Rd 1798, 78741 Austin",NA,"CE","GOOD",42,"GOOD","CK9 T295","FALSE","WMEEJ3BA6AK416751","austin",-97.72285,30.23614,0
"135","Penick Dr 5767, 78741 Austin",NA,"CE","GOOD",30,"GOOD","FJC 9791","FALSE","WMEEJ3BA0FK802055","austin",-97.70882,30.22871,0
"136","The Parking Spot",NA,"CE","GOOD",45,"GOOD","FHB 2835","FALSE","WMEEJ3BA7FK802103","austin",-97.67598,30.22049,0
"137","S Pleasant Valley Rd 2307, 78741 Austin",NA,"CE","GOOD",36,"GOOD","FBV 4477","FALSE","WMEEJ3BA3FK803068","austin",-97.72569,30.22985,0
"138","W 9th St 2359, 78703 Austin",NA,"CE","GOOD",30,"GOOD","FBV 4363","FALSE","WMEEJ3BA4FK799595","austin",-97.7714,30.28294,0
"139","Chalmers Ave 612, 78702 Austin",NA,"CE","GOOD",100,"GOOD","FFD 7794","FALSE","WMEEJ3BA9FK801650","austin",-97.72442,30.26251,0
"140","The Parking Spot",NA,"CE","GOOD",39,"GOOD","FTD 8882","FALSE","WMEEJ3BA2FK802980","austin",-97.67598,30.22049,0
"141","Veterans Dr 2259, 78703 Austin",NA,"CE","GOOD",57,"GOOD","FJC 9934","FALSE","WMEEJ3BA2FK801568","austin",-97.7722,30.27694,0
"142","St Elmo Rd W 288, 78745 Austin",NA,"CE","GOOD",66,"GOOD","CSF 9195","FALSE","WMEEJ3BA4EK734809","austin",-97.76948,30.21949,0
"143","E 13th St 1974, 78702 Austin",NA,"CE","UNACCEPTABLE",100,"UNACCEPTABLE","CSF 8931","FALSE","WMEEJ3BA9EK733784","austin",-97.71937,30.27488,0
"144","Highland Business Center",NA,"CE","UNACCEPTABLE",72,"GOOD","FBV 4493","FALSE","WMEEJ3BA7FK802330","austin",-97.71203,30.32424,0
"145","W 7th St 1147, 78703 Austin",NA,"CE","GOOD",39,"GOOD","FBV 4357","FALSE","WMEEJ3BA8FK798160","austin",-97.7558,30.27368,0
"146","Fairlawn Ln 1830, 78704 Austin",NA,"CE","GOOD",100,"GOOD","FBV 4385","FALSE","WMEEJ3BA6FK799470","austin",-97.73963,30.24086,0
"147","One Texas Center",NA,"CE","GOOD",21,"GOOD","FBV 4389","FALSE","WMEEJ3BA0FK799335","austin",-97.74942,30.25811,0
"148","Poquito St 2212, 78722 Austin",NA,"CE","GOOD",54,"GOOD","FHB 2861","FALSE","WMEEJ3BA5FK800771","austin",-97.72096,30.28307,0
"149","Pinckney St 4055, 78723 Austin",NA,"CE","GOOD",100,"GOOD","FBV 4435","FALSE","WMEEJ3BA5FK799380","austin",-97.7031,30.29253,0
"150","Comal St 1106, 78702 Austin",NA,"CE","GOOD",30,"GOOD","FBV 4367","FALSE","WMEEJ3BA4FK799757","austin",-97.72447,30.27032,0
"151","Randolph Rd 3330, 78722 Austin",NA,"CE","GOOD",96,"GOOD","FBV 4387","FALSE","WMEEJ3BA9FK799480","austin",-97.71115,30.28589,0
"152","Poquito St 1952, 78722 Austin",NA,"CE","GOOD",100,"GOOD","CSF 9197","FALSE","WMEEJ3BA8EK734506","austin",-97.72033,30.2805,0
"153","E 8th St 1603, 78702 Austin",NA,"CE","GOOD",84,"GOOD","FHB 2846","FALSE","WMEEJ3BA0FK801939","austin",-97.72549,30.26473,0
"154","Leona St 1192, 78702 Austin",NA,"CE","GOOD",100,"GOOD","FGZ 8628","FALSE","WMEEJ3BA8FK802370","austin",-97.72177,30.27274,0
"155","Ballpark West",NA,"CE","GOOD",33,"GOOD","FBV 4388","FALSE","WMEEJ3BA2FK799420","austin",-97.7186,30.2362,0
"156","Little John Ln 2506, 78704 Austin",NA,"CE","GOOD",21,"GOOD","FBV 4377","FALSE","WMEEJ3BA6FK800035","austin",-97.74874,30.23504,0
"157","Lightsey Rd 539, 78704 Austin",NA,"CE","GOOD",72,"GOOD","FJC 9790","FALSE","WMEEJ3BA5FK802066","austin",-97.76463,30.23174,0
"158","W 11th St 456, 78701 Austin",NA,"CE","GOOD",100,"GOOD","GGG 3721","FALSE","WMEEJ3BAXFK801334","austin",-97.74515,30.27392,0
"159","E 5th St 703, 78701 Austin",NA,"CE","GOOD",75,"GOOD","FHB 0205","FALSE","WMEEJ3BA9FK802183","austin",-97.73633,30.2652,0
"160","Mary St W 1360, 78704 Austin",NA,"CE","GOOD",90,"GOOD","FJC 9938","FALSE","WMEEJ3BA3FK801871","austin",-97.76665,30.24927,0
"161","Comal St 662, 78702 Austin",NA,"CE","GOOD",42,"GOOD","FJC 9935","FALSE","WMEEJ3BAXFK801690","austin",-97.7263,30.26366,0
"162","Mill St 832, 78702 Austin",NA,"CE","GOOD",75,"GOOD","FHB 0247","FALSE","WMEEJ3BA4FK802141","austin",-97.71912,30.26312,0
"163","Angelina St 1124, 78702 Austin",NA,"CE","GOOD",90,"GOOD","CZS 9754","FALSE","WMEEJ3BA0EK748061","austin",-97.72456,30.26824,0
"164","The Parking Spot",NA,"CE","UNACCEPTABLE",60,"GOOD","CSG 1540","FALSE","WMEEJ3BA8EK733842","austin",-97.67598,30.22049,0
