"","lat","lon","name"
"561",30.27123,-97.74307,"FBV 4383"
"562",30.2703,-97.74343,"FBV 4383"
"563",30.27057,-97.74449,"FBV 4383"
"564",30.27075,-97.74507,"FBV 4383"
"565",30.21016,-97.7861,"FBV 4428"
"566",30.20953,-97.78507,"FBV 4428"
"567",30.20916,-97.7844,"FBV 4428"
"568",30.20904,-97.78407,"FBV 4428"
"569",30.20898,-97.78384,"FBV 4428"
"570",30.2089,-97.78288,"FBV 4428"
"571",30.20885,-97.78253,"FBV 4428"
"572",30.20875,-97.78222,"FBV 4428"
"573",30.20843,-97.78155,"FBV 4428"
"574",30.20901,-97.78108,"FBV 4428"
"575",30.21059,-97.77979,"FBV 4428"
"576",30.21127,-97.77926,"FBV 4428"
"577",30.21193,-97.77896,"FBV 4428"
"578",30.21232,-97.77882,"FBV 4428"
"579",30.21252,-97.77874,"FBV 4428"
"580",30.2127,-97.77865,"FBV 4428"
"581",30.21287,-97.77854,"FBV 4428"
"582",30.21326,-97.77813,"FBV 4428"
"583",30.21424,-97.77723,"FBV 4428"
"584",30.21479,-97.7768,"FBV 4428"
"585",30.21608,-97.77601,"FBV 4428"
"586",30.21894,-97.77422,"FBV 4428"
"587",30.22195,-97.77236,"FBV 4428"
"588",30.22352,-97.77137,"FBV 4428"
"589",30.22546,-97.77016,"FBV 4428"
"590",30.22549,-97.77006,"FBV 4428"
"591",30.22563,-97.76997,"FBV 4428"
"592",30.22615,-97.76964,"FBV 4428"
"593",30.22647,-97.76943,"FBV 4428"
"594",30.22662,-97.76933,"FBV 4428"
"595",30.22749,-97.76879,"FBV 4428"
"596",30.22765,-97.76871,"FBV 4428"
"597",30.22773,-97.7687,"FBV 4428"
"598",30.22794,-97.76858,"FBV 4428"
"599",30.22943,-97.76765,"FBV 4428"
"600",30.23203,-97.76598,"FBV 4428"
"601",30.23314,-97.76531,"FBV 4428"
"602",30.23383,-97.76485,"FBV 4428"
"603",30.23598,-97.7635,"FBV 4428"
"604",30.23671,-97.76306,"FBV 4428"
"605",30.23897,-97.76163,"FBV 4428"
"606",30.24016,-97.76087,"FBV 4428"
