"","lat","lon","startTime","name"
"355",30.27154,-97.75399,"2015-12-07 19:10:55","FBV 4383"
"356",30.27192,-97.75498,"2015-12-07 19:10:55","FBV 4383"
"357",30.27302,-97.75796,"2015-12-07 19:10:55","FBV 4383"
"358",30.27359,-97.75942,"2015-12-07 19:10:55","FBV 4383"
"359",30.27418,-97.76096,"2015-12-07 19:10:55","FBV 4383"
"360",30.27457,-97.76198,"2015-12-07 19:10:55","FBV 4383"
"361",30.27482,-97.76263,"2015-12-07 19:10:55","FBV 4383"
"362",30.27581,-97.762,"2015-12-07 19:10:55","FBV 4383"
"363",30.2768,-97.76141,"2015-12-07 19:10:55","FBV 4383"
"364",30.27735,-97.76106,"2015-12-07 19:10:55","FBV 4383"
"365",30.27752,-97.76141,"2015-12-07 19:10:55","FBV 4383"
"366",30.27752,-97.76141,"2015-12-07 20:35:57","FBV 4383"
"367",30.27735,-97.76106,"2015-12-07 20:35:57","FBV 4383"
"368",30.2768,-97.76141,"2015-12-07 20:35:57","FBV 4383"
"369",30.27581,-97.762,"2015-12-07 20:35:57","FBV 4383"
"370",30.27482,-97.76263,"2015-12-07 20:35:57","FBV 4383"
"371",30.27527,-97.76356,"2015-12-07 20:35:57","FBV 4383"
"372",30.27545,-97.76385,"2015-12-07 20:35:57","FBV 4383"
"373",30.27565,-97.76405,"2015-12-07 20:35:57","FBV 4383"
"374",30.27577,-97.76422,"2015-12-07 20:35:57","FBV 4383"
"375",30.27517,-97.76462,"2015-12-07 20:35:57","FBV 4383"
"376",30.27486,-97.76483,"2015-12-07 20:35:57","FBV 4383"
"377",30.27404,-97.76383,"2015-12-07 20:35:57","FBV 4383"
"378",30.27389,-97.76361,"2015-12-07 20:35:57","FBV 4383"
"379",30.27373,-97.76334,"2015-12-07 20:35:57","FBV 4383"
"380",30.27364,-97.76314,"2015-12-07 20:35:57","FBV 4383"
"381",30.2727,-97.76083,"2015-12-07 20:35:57","FBV 4383"
"382",30.272,-97.75909,"2015-12-07 20:35:57","FBV 4383"
"383",30.27169,-97.75821,"2015-12-07 20:35:57","FBV 4383"
"384",30.27099,-97.75631,"2015-12-07 20:35:57","FBV 4383"
"385",30.27055,-97.75525,"2015-12-07 20:35:57","FBV 4383"
"386",30.27031,-97.75465,"2015-12-07 20:35:57","FBV 4383"
